hash_valid,timestamp_gap,checksum_valid,field_count,is_tampered
1,4,1,8,0
1,79,1,8,0
0,2110,0,6,1
1,12,1,8,0
1,17,1,8,0
1,6,1,8,0
1,58,1,8,0
1,49,1,8,0
1,41,1,8,0
1,2,1,8,0
1,89,1,8,0
1,77,1,8,0
1,89,1,8,0
1,26,1,8,0
1,13,1,8,0
1,53,1,8,0
1,79,1,8,0
1,96,1,8,0
1,75,1,8,0
1,27,1,8,0
1,56,1,8,0
1,73,1,8,0
1,56,1,8,0
1,2,1,8,0
1,44,1,8,0
1,26,1,8,0
1,39,1,8,0
1,33,1,8,0
1,2,1,8,0
1,89,1,8,0
1,57,1,8,0
1,51,1,8,0
1,68,1,8,0
1,79,1,8,0
1,21,1,8,0
1,6,1,8,0
1,89,1,8,0
1,45,1,8,0
0,2128,0,6,1
1,87,1,8,0
1,36,1,8,0
1,10,1,8,0
1,68,1,8,0
1,70,1,8,0
1,6,1,8,0
1,22,1,8,0
1,4,1,8,0
1,48,1,8,0
1,20,1,8,0
1,1,1,8,0
1,57,1,8,0
1,92,1,8,0
1,27,1,8,0
1,95,1,8,0
0,8751,0,7,1
1,54,1,8,0
1,29,1,8,0
1,70,1,8,0
1,64,1,8,0
1,30,1,8,0
1,60,1,8,0
1,60,1,8,0
1,79,1,8,0
1,4,1,8,0
1,43,1,8,0
1,77,1,8,0
1,13,1,8,0
1,16,1,8,0
0,1417,0,7,1
1,12,1,8,0
1,40,1,8,0
1,10,1,8,0
1,23,1,8,0
1,62,1,8,0
1,51,1,8,0
1,34,1,8,0
1,36,1,8,0
1,53,1,8,0
1,66,1,8,0
1,12,1,8,0
1,87,1,8,0
1,39,1,8,0
1,60,1,8,0
1,32,1,8,0
1,66,1,8,0
1,53,1,8,0
1,17,1,8,0
1,28,1,8,0
1,79,1,8,0
1,23,1,8,0
1,84,1,8,0
1,18,1,8,0
1,11,1,8,0
0,4952,0,5,1
1,13,1,8,0
1,59,1,8,0
1,77,1,8,0
1,84,1,8,0
1,81,1,8,0
1,52,1,8,0
1,7,1,8,0
1,19,1,8,0
1,38,1,8,0
1,13,1,8,0
1,99,1,8,0
1,17,1,8,0
0,4924,0,5,1
1,40,1,8,0
1,9,1,8,0
1,26,1,8,0
1,64,1,8,0
1,44,1,8,0
1,34,1,8,0
1,29,1,8,0
1,71,1,8,0
1,78,1,8,0
1,23,1,8,0
1,10,1,8,0
1,37,1,8,0
1,80,1,8,0
1,39,1,8,0
1,55,1,8,0
1,57,1,8,0
1,91,1,8,0
1,36,1,8,0
1,86,1,8,0
1,62,1,8,0
1,68,1,8,0
1,100,1,8,0
1,83,1,8,0
1,59,1,8,0
1,71,1,8,0
1,10,1,8,0
1,66,1,8,0
1,93,1,8,0
1,80,1,8,0
0,8460,0,7,1
1,42,1,8,0
1,76,1,8,0
1,1,1,8,0
1,25,1,8,0
1,21,1,8,0
1,99,1,8,0
1,91,1,8,0
1,50,1,8,0
1,3,1,8,0
1,82,1,8,0
1,52,1,8,0
1,83,1,8,0
1,55,1,8,0
1,13,1,8,0
1,62,1,8,0
1,27,1,8,0
1,5,1,8,0
1,20,1,8,0
1,79,1,8,0
1,47,1,8,0
1,78,1,8,0
1,2,1,8,0
1,47,1,8,0
1,89,1,8,0
1,100,1,8,0
1,64,1,8,0
1,10,1,8,0
1,55,1,8,0
0,1579,0,7,1
1,13,1,8,0
1,40,1,8,0
1,25,1,8,0
1,90,1,8,0
1,35,1,8,0
1,52,1,8,0
1,51,1,8,0
1,80,1,8,0
1,11,1,8,0
1,37,1,8,0
1,7,1,8,0
1,90,1,8,0
1,32,1,8,0
1,22,1,8,0
1,20,1,8,0
1,42,1,8,0
1,27,1,8,0
1,66,1,8,0
1,98,1,8,0
1,35,1,8,0
1,70,1,8,0
1,84,1,8,0
1,65,1,8,0
1,8,1,8,0
1,74,1,8,0
1,96,1,8,0
1,92,1,8,0
1,23,1,8,0
1,41,1,8,0
1,47,1,8,0
1,27,1,8,0
1,70,1,8,0
1,49,1,8,0
1,36,1,8,0
1,59,1,8,0
1,54,1,8,0
1,31,1,8,0
1,21,1,8,0
1,79,1,8,0
1,23,1,8,0
1,38,1,8,0
1,89,1,8,0
